City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,kapaa,92,US,1525299142,83,22.08,-159.32,73.65,6.17
88,port elizabeth,0,US,1525299142,28,39.31,-74.98,86.07,17.81
89,kavieng,24,PG,1525299143,100,-2.57,150.8,83.55,4.72
90,avarua,32,CK,1525299143,100,-21.21,-159.78,79.05,12.77
91,comodoro rivadavia,80,AR,1525298936,79,-45.87,-67.48,57.99,14.0
92,werda,76,DE,1525299144,75,50.44,12.3,56.28,6.62
93,lukow,32,PL,1525299144,57,51.93,22.38,63.75,12.66
94,souillac,92,FR,1525299145,89,45.6,-0.6,52.14,8.75
95,segezha,92,RU,1525299145,97,63.74,34.31,34.32,9.98
96,te anau,80,NZ,1525299145,96,-45.41,167.72,40.53,2.71
97,rocha,92,UY,1525299146,82,-34.48,-54.34,66.63,10.76
98,saint-philippe,68,CA,1525299146,60,45.36,-73.48,73.29,17.92
99,sisimiut,68,GL,1525299147,85,66.94,-53.67,13.17,2.71
100,astana,0,KZ,1525299147,93,51.13,71.43,33.51,4.38
101,port lincoln,92,AU,1525299147,100,-34.72,135.86,59.52,17.58
102,saskylakh,36,RU,1525299148,80,71.97,114.09,6.33,9.31
103,rio grande,92,BR,1525298865,84,-32.03,-52.1,73.02,18.7
104,torbay,20,CA,1525299148,61,47.66,-52.73,47.82,17.25
105,vaini,20,IN,1525299149,93,15.34,74.49,69.51,2.71
106,isangel,76,VU,1525299149,100,-19.55,169.27,76.17,11.77
107,sabang,68,PH,1525299150,100,13.72,123.58,78.33,3.71
108,caldas novas,0,BR,1525299150,39,-17.75,-48.62,78.51,4.61
109,hoquiam,0,US,1525299151,60,46.98,-123.89,65.01,2.82
110,palas,80,ID,1525299151,96,0.57,101.39,74.28,1.59
111,bonavista,12,CA,1525299151,71,48.65,-53.11,46.92,17.25
112,rawson,0,AR,1525299152,33,-43.3,-65.11,64.92,8.97
113,los llanos de aridane,48,ES,1525299080,100,28.66,-17.92,63.39,8.97
114,shakawe,0,BW,1525299153,43,-18.36,21.84,60.96,7.74
